Word,Definition,Other Meanings,Nominative,Dative,Accusative,Present,Imperfect,Perfect,Other Information
Paro,Prepare,,,,," I = paro , you(singular) = paras , he/she = parat , we = paramus , you(plural) = paratis , they = parant","I = parabam , you(singular) = parabas , he/she = parabat , we = parabamus , you(plural) = parabatis , they = parabant","I = paravi , you(singular) = paravisti , he/she = paravit , we = paravimus , you(plural) = paravistis , they = paraverunt",
Cum,With,,,,,,,,
Facio,Make,Does / Do,,,,"I = facio , you(singular) = facis , he/she = facit , we = facimus , you(plural) = facitis , they = faciunt","I = faciebam , you(singular) = faciebas , he/she = faciebat , we = faciebamus , you(singular) = faciebatis , they = faciebant","I = feci , you(singular) = fecisti , he/she = fecit , we = fecimus , you(plural) = fecistis , they = fecerunt",
Heri,Yesterday,,,,,,,,
Ingens,Huge,,,,,,,,
Nihil,Nothing,,,,,,,,
Omnis,All,Every,,,,,,,
Vendo,Sell,,,,," I = vendo , you(singular) = vendis , he/she = vendit , we = vendimus , you(plural) = venditis , they = vendunt"," I = vendebam , you(singular) = vendebas , he/she = vendebat , we = vendebamus , you(plural) = vendebatis , they = vendebant","I = vendidi , you(singular) = vendidisti , he/she = vendidit , we = vendidimus , you(plural) = vendidistis , they = vendiderunt",
Navis,Ship,,navis(singular) / naves(plural),navi(singular) / navibus(plural),navem(singular) / naves(plural),,,,
Prope,Near,,,,,,,,
Rogo,Ask,,,,,"I = rogavi, you(singular) = rogavisti , he/she = rogavit , we = rogavimus , you(plural) = roagavistis , they = rogaverunt",,,
Terreo,Scare,Terrify / Frightens,,,,"I = terreo , you(singular) = terres , he/she = terret , we = terremus , you(plural) = terretis , they = terrent","I = terrebam , you(singular) = terrebas , he/she = terrebat , we = terrebamus , you(plural) = terrebatis , they = terrebant","I = terrui , you(singular) = terruisti , he/she = terruisti , he/she = terruit , we = terruimus , you(plural) = terruistis , they = terruerunt",
Inquit,Says,said,,,,"I = N/A , you(singular) = inquis , he/she = inquit , we = inquimus , you(plural) = N/A , they = inquiunt",,,
Tamen,However,,,,,,,,
Eum,Him,,,,,,,,
Eam,Her,,,,,,,,
Duco,Lead,Takes,,,,"I = duco , you(singular) = ducis , he/she = ducit , we = ducimus , you(plural) = ducitis , they = ducunt","I = ducebam , you(singular) = ducebas , he/she = ducebat , we = ducebamus , you(plural) = ducebatis , they = ducebant","I = duxi , you(singular) = duxisti , he/she = duxit , we = duximus , you(plural) = duxistis , they = duxerunt",
Saepe,Often,,,,,,,,
Interficio,Kill,Killed,,,,"I = interfecio , you(singular) = interfecisti , he/she = interfecit , we = interfecimus , you(plural) = interfecistis , they = interfecerunt",,,
Habito,Lives,,,,,"I = habito , you(singular) = habitas , he/she = habitat , we = habitamus , you(plural) = habitatis , they = habitant","I = habitabam , you(singular) = habitaba , he/she = habitabat , we = habitabamus , you(plural) = habitabatis , they = habitabant","I = habitavi , you(singular) = habitavisti , he/she = habitavit , we = habitavimus , you(plural) = habitavistis , they = habitaverunt",
Silva,Forest,Woods,silva(singular) / silvae(plural),silvae(singular) / silvis(plural),silvam(singular) / silvas(plural),,,,
Statim,At once,Immediately,,,,,,,
Totus,Whole,Entire,,,,,,,
